raceId,driverId,position,q1
40,27,22,\N
41,1,1,1:16.576
41,4,2,1:16.562
41,2,3,1:17.006
41,8,4,1:16.468
41,13,5,1:16.756
41,17,6,1:17.315
41,3,7,1:17.016
41,9,8,1:17.267
41,21,9,1:16.805
41,15,10,1:17.324
41,11,11,1:17.490
41,24,12,1:17.541
41,22,13,1:17.011
41,14,14,1:17.436
41,18,15,1:17.522
41,26,16,1:17.433
41,19,17,1:17.542
41,23,18,1:17.634
41,25,19,1:18.089
41,16,20,1:18.536
41,27,21,1:19.196
41,5,22,1:17.806
42,1,1,1:12.563
42,4,2,1:12.416
42,13,3,1:12.731
42,8,4,1:12.732
42,2,5,1:12.543
42,5,6,1:12.998
42,20,7,1:12.711
42,15,8,1:13.186
42,17,9,1:13.425
42,21,10,1:13.168
42,14,11,1:13.424
42,23,12,1:12.851
42,18,13,1:13.306
42,3,14,1:13.128
42,22,15,1:13.203
42,19,16,1:13.164
42,25,17,1:13.441
42,11,18,1:13.477
42,24,19,1:13.484
42,26,20,1:13.712
42,16,21,1:14.122
42,27,22,1:14.597
43,13,1,1:15.303
43,1,2,1:14.805
43,8,3,1:14.872
43,9,4,1:15.778
43,21,5,1:16.047
43,5,6,1:15.524
43,2,7,1:15.783
43,15,8,1:16.118
43,3,9,1:16.092
43,4,10,1:15.322
43,23,11,1:15.760
43,18,12,1:16.113
43,22,13,1:16.140
43,17,14,1:15.746
43,26,15,1:15.980
43,14,16,1:15.915
43,24,17,1:16.142
43,25,18,1:16.241
43,19,19,1:16.366
43,27,20,1:17.826
43,16,21,1:17.915
43,11,22,1:16.244
44,1,1,1:19.885
44,8,2,1:19.753
44,4,3,1:19.330
44,13,4,1:19.790
44,9,5,1:20.294
44,23,6,1:20.513
44,5,7,1:20.570
44,21,8,1:20.842
44,2,9,1:20.534
44,15,10,1:21.150
44,17,11,1:20.583
44,14,12,1:21.154
44,25,13,1:20.830
44,22,14,1:21.169
44,26,15,1:20.834
44,24,16,1:21.160
44,3,17,1:21.219
44,18,18,1:21.335
44,19,19,1:21.448
44,16,20,1:22.019
44,11,21,1:22.045
44,27,22,1:22.586
45,8,1,1:31.522
45,4,2,1:31.074
45,13,3,1:31.447
45,2,4,1:31.889
45,9,5,1:31.961
45,17,6,1:32.629
45,5,7,1:32.594
45,15,8,1:32.381
45,23,9,1:32.446
45,1,10,1:31.587
45,3,11,1:32.117
45,25,12,1:32.173
45,21,13,1:32.378
45,22,14,1:32.674
45,19,15,1:32.793
45,11,16,1:32.678
45,18,17,1:32.983
45,26,18,1:33.038
45,24,19,1:33.148
45,14,20,1:33.151
45,16,21,1:34.500
45,28,22,1:35.940
46,4,1,1:20.425
46,1,2,1:19.570
46,2,3,1:20.751
46,8,4,1:20.435
46,3,5,1:20.547
46,23,6,1:20.449
46,9,7,1:20.366
46,21,8,1:21.645
46,15,9,1:20.481
46,17,10,1:20.794
46,14,11,1:21.291
46,5,12,1:20.285
46,25,13,1:21.243
46,13,14,1:20.408
46,19,15,1:21.018
46,24,16,1:21.730
46,18,17,1:21.737
46,22,18,1:21.877
46,11,19,1:22.143
46,20,20,1:22.177
46,16,21,1:22.737
46,29,22,1:23.774
47,13,1,1:27.488
47,1,2,1:27.513
47,8,3,1:27.294
47,4,4,1:27.328
47,9,5,1:27.997
47,2,6,1:28.099
47,5,7,1:28.127
47,3,8,1:28.275
47,15,9,1:28.318
47,21,10,1:28.313
47,19,11,1:28.304
47,17,12,1:28.500
47,14,13,1:28.395
47,25,14,1:28.360
47,24,15,1:28.798
47,23,16,1:28.809
47,11,17,1:28.953
47,20,18,1:29.408
47,16,19,1:29.861
47,29,20,1:31.479
47,18,21,1:28.373
47,22,22,1:28.792
48,4,1,1:21.718
48,1,2,1:21.956
48,13,3,1:22.309
48,2,4,1:23.107
48,8,5,1:22.673
48,9,6,1:23.088
48,5,7,1:23.505
48,3,8,1:23.333
48,15,9,1:23.724
48,18,10,1:23.639
48,17,11,1:23.575
48,22,12,1:23.474
48,25,13,1:23.739
48,19,14,1:23.646
48,21,15,1:23.559
48,20,16,1:23.578
48,11,17,1:23.749
48,23,18,1:23.787
48,24,19,1:23.886
48,14,20,1:24.019
48,16,21,1:24.699
48,29,22,1:25.084
49,8,1,1:46.242
49,13,2,1:46.060
49,4,3,1:46.058
49,1,4,1:46.437
49,3,5,1:46.950
49,2,6,1:46.923
49,17,7,1:47.084
49,15,8,1:47.143
49,5,9,1:46.971
49,23,10,1:47.300
49,14,11,1:47.340
49,18,12,1:47.474
49,24,13,1:47.576
49,9,14,1:46.707
49,25,15,1:47.522
49,20,16,1:47.581
49,22,17,1:47.954
49,11,18,1:47.980
49,16,19,1:48.044
49,19,20,1:48.199
49,29,21,1:49.557
49,21,22,1:47.143
50,1,1,1:25.489
50,4,2,1:25.379
50,8,3,1:25.390
50,13,4,1:25.359
50,2,5,1:25.971
50,18,6,1:26.614
50,17,7,1:25.970
50,20,8,1:26.025
50,9,9,1:26.300
50,21,10,1:26.909
50,5,11,1:27.223
50,14,12,1:26.904
50,15,13,1:26.711
50,24,14,1:27.234
50,23,15,1:27.191
50,3,16,1:26.579
50,22,17,1:27.323
50,25,18,1:27.454
50,19,19,1:27.564
50,16,20,1:28.628
50,11,21,1:28.762
50,29,22,1:29.668
51,1,1,1:35.798
51,8,2,1:35.692
51,13,3,1:35.792
51,4,4,1:35.809
51,14,5,1:36.930
51,23,6,1:37.135
51,17,7,1:37.199
51,2,8,1:36.737
51,9,9,1:36.309
51,18,10,1:37.092
51,24,11,1:37.047
51,15,12,1:37.209
51,5,13,1:37.225
51,19,14,1:37.203
51,3,15,1:37.144
51,22,16,1:37.251
51,20,17,1:37.006
51,21,18,1:37.290
51,25,19,1:37.456
51,11,20,1:38.218
51,16,21,1:38.668
51,29,22,1:39.336
52,13,1,1:12.303
52,1,2,1:13.033
52,8,3,1:13.016
52,4,4,1:12.895
52,17,5,1:13.081
52,2,6,1:13.472
52,9,7,1:13.085
52,15,8,1:13.470
52,14,9,1:13.264
52,3,10,1:13.707
52,22,11,1:13.661
52,21,12,1:13.482
52,20,13,1:13.853
52,24,14,1:13.607
52,23,15,1:13.767
52,18,16,1:14.054
52,5,17,1:14.078
52,11,18,1:14.098
52,6,19,1:14.417
52,19,20,1:14.596
52,16,21,1:15.217
52,29,22,1:15.487
53,30,1,1:33.310
53,13,2,1:33.579
53,18,3,1:32.603
53,4,4,1:32.433
53,31,5,1:33.233
53,22,6,1:33.922
53,17,7,1:33.454
53,32,8,1:34.308
53,21,9,1:32.934
53,2,10,1:33.374
53,35,11,1:33.882
53,3,12,1:32.945
53,14,13,1:33.678
53,15,14,1:33.987
53,24,15,1:34.439
53,26,16,1:33.995
53,23,17,1:34.702
53,27,18,1:35.724
53,33,19,1:35.900
53,11,20,1:37.411
53,34,21,1:40.270
53,8,22,\N
54,21,1,1:35.488
54,18,2,1:35.023
54,3,3,1:35.105
54,30,4,1:35.810
54,17,5,1:35.252
54,31,6,1:34.536
54,8,7,1:34.667
54,4,8,1:35.514
54,32,9,1:35.171
54,23,10,1:35.214
54,14,11,1:34.839
54,22,12,1:35.526
54,15,13,1:35.517
54,35,14,1:35.391
54,2,15,1:35.588
54,13,16,1:35.091
54,26,17,1:36.297
54,24,18,1:36.581
54,27,19,1:37.426
54,33,20,1:37.819
54,11,21,1:39.011
54,34,22,1:40.720
55,18,1,1:28.081
55,21,2,1:27.765
55,4,3,1:28.569
55,8,4,1:27.193
55,31,5,1:27.079
55,23,6,1:28.007
55,17,7,1:27.669
55,2,8,1:27.796
55,35,9,1:28.460
55,15,10,1:27.748
55,30,11,1:28.228
55,14,12,1:28.408
55,24,13,1:28.999
55,32,14,1:28.757
55,3,15,1:28.351
55,13,16,1:28.868
55,22,17,1:29.943
55,27,18,1:30.226
55,26,19,1:30.426
55,33,20,1:30.709
55,11,21,1:32.279
55,34,22,1:36.164
56,30,1,1:24.598
56,18,2,1:24.480
56,22,3,1:24.727
56,13,4,1:24.884
56,4,5,1:23.536
56,23,6,1:24.370
56,31,7,1:24.960
56,8,8,1:24.259
56,15,9,1:24.446
56,17,10,1:24.992
56,21,11,1:24.434
56,35,12,1:25.081
56,3,13,1:24.495
56,14,14,1:24.849
56,2,15,1:25.410
56,24,16,1:24.879
56,32,17,1:25.410
56,26,18,1:25.437
56,33,19,1:26.820
56,27,20,1:27.088
56,11,21,1:27.609
56,34,22,1:29.282
57,4,1,1:31.138
57,30,2,1:31.235
57,13,3,1:31.921
57,22,4,1:31.671
57,8,5,1:31.263
57,18,6,1:31.420
57,15,7,1:31.809
57,35,8,1:31.545
57,31,9,1:31.774
57,17,10,1:31.712
57,23,11,1:31.470
57,3,12,1:32.053
57,21,13,1:31.574
57,14,14,1:31.742
57,2,15,1:31.457
57,24,16,1:32.651
57,32,17,1:32.901
57,27,18,1:32.936
57,26,19,1:32.992
57,33,20,1:33.658
57,11,21,1:35.239
57,36,22,1:46.505
58,4,1,1:15.816
58,21,2,1:16.046
58,30,3,1:16.049
58,13,4,1:16.359
58,22,5,1:16.266
58,23,6,1:16.234
58,15,7,1:16.174
58,18,8,1:16.054
58,8,9,1:16.613
58,2,10,1:16.322
58,17,11,1:16.685
58,31,12,1:16.195
58,3,13,1:17.213
58,35,14,1:16.066
58,32,15,1:16.627
58,24,16,1:17.105
58,26,17,1:17.361
58,33,18,1:17.702
58,27,19,1:18.024
58,11,20,1:18.920
58,36,21,1:20.763
58,14,22,\N
59,4,1,1:14.232
59,17,2,1:14.305
